Country,electric_vehicles_2030_TWh,electric_vehicles_2040_TWh,electric_vehicles_2050_TWh,other_transport_2030_TWh,other_transport_2040_TWh,other_transport_2050_TWh,other_sectors_excluding_SH_and_DHW_2030_TWh,other_sectors_excluding_SH_and_DHW_2040_TWh,other_sectors_excluding_SH_and_DHW_2050_TWh
AT,0.7,3.3,7.7,3.1,3.2,3.3,65.6,73,78.9
BE,1,4.3,10.1,1.9,2.2,2.4,80.5,94,109.3
BG,0.1,0.9,2.8,0.7,0.6,0.6,29.6,31.7,34.3
CH,0.3,2.2,5.6,3,3,2.8,68.1,76.3,76.1
CY,0,0.1,0.3,0,0,0,3.3,3.9,4.7
CZ,0.3,1.8,4.9,3.2,3.5,3.6,56.5,65.4,73
DE,5.1,35.7,101.4,23.2,39.2,59.9,511.7,542.6,573.1
DK,1.2,3.5,7.3,0.8,2,3.8,33.7,38.1,42.1
EE,0.1,0.3,0.9,0.1,0.1,0.2,7.3,7.8,8.3
ES,0.9,6.4,17.6,4.1,4.8,5.6,247.8,269.6,285.3
FI,0.4,2.1,5.6,1.4,1.9,2.7,76.3,84.5,89.8
FR,4.1,28.6,93.4,13.8,15.6,17.5,372.8,428.7,475.4
EL,0.4,2.4,5.9,0.1,0.1,0.1,44.9,50.1,53.1
HR,0.1,0.4,1.1,0.5,0.5,0.6,13.3,14.4,15.3
HU,0.1,1,2.7,1.8,1.9,1.9,39,44.2,47.7
IE,0.2,1,2.7,0.1,0.1,0.2,23.3,26.7,29.9
IT,1.7,12.2,34.1,7.5,7.7,7.3,271.3,301,330.9
LT,0.1,0.3,0.9,0.5,0.5,0.5,10.2,11.1,12.5
LU,0,0.2,0.5,0.1,0.1,0.1,7.6,8.9,9.2
LV,0,0.2,0.6,0.3,0.4,0.5,7.5,8.5,8.9
MT,0,0,0.1,-,-,-,2.1,2.3,2.4
NL,3.9,10.4,19.2,1.8,2.4,3.2,116.5,134.3,150.3
NO,3,7.7,14.4,0.9,1.1,1.5,132.4,148.3,148
PL,0.9,5.1,14.1,7.2,7.5,7.8,164.5,186.9,201.6
PT,0.5,2.7,7.1,0.5,0.4,0.4,52.1,57.6,59.7
RO,0.3,1.7,5.6,2.5,2.8,2.9,52.5,61.2,68.9
SE,3.2,12.3,22.7,3.2,4,5.3,120.1,132.1,141.9
SI,0.1,0.8,1.8,0.5,0.6,0.6,13.8,14.7,15.6
SK,0.1,0.5,1.8,1.4,1.4,1.4,29.6,34.7,36.2
UK,6.3,28.1,67.1,4.4,6.1,6.7,300.9,330.4,359
EU27+3,35,176,460,88,114,143,"2,955","3,283","3,541"
Source,https://op.europa.eu/en/publication-detail/-/publication/16710ac3-eac0-11ec-a534-01aa75ed71a1/language-en,https://op.europa.eu/en/publication-detail/-/publication/16710ac3-eac0-11ec-a534-01aa75ed71a1/language-en,https://op.europa.eu/en/publication-detail/-/publication/16710ac3-eac0-11ec-a534-01aa75ed71a1/language-en,https://op.europa.eu/en/publication-detail/-/publication/16710ac3-eac0-11ec-a534-01aa75ed71a1/language-en,https://op.europa.eu/en/publication-detail/-/publication/16710ac3-eac0-11ec-a534-01aa75ed71a1/language-en,https://op.europa.eu/en/publication-detail/-/publication/16710ac3-eac0-11ec-a534-01aa75ed71a1/language-en,https://op.europa.eu/en/publication-detail/-/publication/16710ac3-eac0-11ec-a534-01aa75ed71a1/language-en,https://op.europa.eu/en/publication-detail/-/publication/16710ac3-eac0-11ec-a534-01aa75ed71a1/language-en,https://op.europa.eu/en/publication-detail/-/publication/16710ac3-eac0-11ec-a534-01aa75ed71a1/language-en
