country_id,building_use_id,construction_year,total_primary_energy_intensity,total_energy_cost_intensity,total_CO2_intensity
1,1,null,218.59,26.38,43500.23
1,1,1945,263.15,31.53,52684.19
1,1,1969,276.28,33.52,54722.66
1,1,1979,252.18,30.34,50318.36
1,1,1989,211.77,25.63,42040.64
1,1,1999,191.43,23.07,38144.98
1,1,2010,179.47,21.75,35583.53
1,1,2050,155.88,18.82,31007.22
1,2,null,164.06,19.74,32728.41
1,2,1945,174.64,20.90,35006.86
1,2,1969,205.59,24.92,40762.11
1,2,1979,187.13,22.44,37441.65
1,2,1989,163.94,19.75,32673.08
1,2,1999,146.6,17.62,29273.93
1,2,2010,144.74,17.46,28807.54
1,2,2050,125.82,15.12,25133.72
1,3,null,155.45,18.66,31070.74
1,3,1945,179.8,21.48,36087.55
1,3,1969,186.85,22.40,37396.07
1,3,1979,175.71,21.07,35163.19
1,3,1989,152.81,18.39,30487.36
1,3,1999,140.17,16.84,28004.69
1,3,2010,132.66,15.98,26437.13
1,3,2050,120.12,14.49,23919.15
1,4,null,159.07,17.71,27647.03
1,4,1945,288,28.12,53051.90
1,4,1969,188.69,20.30,33331.76
1,4,1979,178.75,19.71,31208.64
1,4,1989,155.16,18.02,26395.55
1,4,1999,131.62,15.24,22431.97
1,4,2010,88.69,11.56,14134.07
1,4,2050,82.57,11.00,12975.33
1,5,null,216.42,24.58,37243.35
1,5,1945,251.37,25.52,45561.81
1,5,1969,254.68,27.48,44925.83
1,5,1979,245.3,26.87,42966.03
1,5,1989,215.93,24.77,36968.37
1,5,1999,202.48,25.17,33186.44
1,5,2010,203.71,25.36,33357.67
1,5,2050,141.48,16.87,23737.33
1,6,null,250.21,24.82,45444.18
1,6,1945,268.43,26.28,49007.33
1,6,1969,284.23,28.05,51729.44
1,6,1979,269.04,27.04,48605.52
1,6,1989,252.95,25.89,45355.41
1,6,1999,225.64,21.83,41388.20
1,6,2010,231.08,23.02,41900.67
1,6,2050,220.08,21.62,40122.73
9,1,null,292.1,34.97,56893.77
9,1,1945,321.85,38.42,63424.87
9,1,1969,305.76,36.59,59634.07
9,1,1979,311.56,37.26,60955.70
9,1,1989,297.03,35.56,57860.75
9,1,1999,281.65,33.85,54048.75
9,1,2010,270.64,32.49,52165.62
9,1,2050,256.22,30.63,50166.63
9,2,null,197.73,23.82,37568.80
9,2,1945,228.24,27.32,44515.36
9,2,1969,204.83,24.53,39834.50
9,2,1979,211.22,25.33,40879.16
9,2,1989,226.38,27.37,42457.01
9,2,1999,224.4,27.17,41827.11
9,2,2010,178.65,21.71,32760.54
9,2,2050,110.38,13.34,20707.89
9,3,null,197.73,23.82,37568.80
9,3,1945,228.24,27.32,44515.36
9,3,1969,204.83,24.53,39834.50
9,3,1979,211.22,25.33,40879.16
9,3,1989,226.38,27.37,42457.01
9,3,1999,224.4,27.17,41827.11
9,3,2010,178.65,21.71,32760.54
